"","X","Recipe","Average.Review","Review.Count","Prep.Time","isVegan","serves","isNuts","cooking_methods","calories"
"69",68,"Chocolate Chip Pumpkin Bread",4.73,596,90,TRUE,"2-3 pax",FALSE,"grill",1400
"70",69,"Red Pepper Biscuits",4.36,31,0,TRUE,">7 pax",TRUE,"bake",300
"71",70,"Chocolate Wave Zucchini Bread",4.62,199,0,TRUE,"4-6 pax",FALSE,"bake",800
"72",71,"Wheat and Barley Bread",4.46,12,115,FALSE,"4-6 pax",TRUE,"grill",400
"73",72,"Tomato Bread I",4.63,7,0,FALSE,">7 pax",FALSE,"deep-fry",1100
"74",73,"Zucchini Bread II",4.51,185,0,FALSE,">7 pax",FALSE,"grill",800
"75",74,"Mall Pretzels",4.61,1131,50,TRUE,">7 pax",TRUE,"deep-fry",500
"76",75,"Soft Pretzels I",3.93,66,0,FALSE,"4-6 pax",TRUE,"bake",300
"77",76,"Sweet Potato Rolls",4.6,197,0,TRUE,"4-6 pax",FALSE,"grill",1400
"78",77,"Tea Biscuits",4.43,346,0,FALSE,">7 pax",FALSE,"bake",700
"79",78,"Cheddar Biscuits",4.64,430,35,TRUE,"2-3 pax",TRUE,"bake",1000
"80",79,"Cottage Dill Bread",4.55,83,0,TRUE,"2-3 pax",TRUE,"deep-fry",200
"81",80,"English Muffin Loaves",4.61,58,0,FALSE,">7 pax",FALSE,"grill",900
"82",81,"Parmesan Focaccia Bread",4.59,53,0,FALSE,"2-3 pax",FALSE,"deep-fry",1000
"83",82,"Darbey Bread",4.19,30,0,FALSE,"2-3 pax",FALSE,"bake",700
"84",83,"Nonfat Sour Cream Cake Bread",4.44,7,0,FALSE,"4-6 pax",FALSE,"bake",1000
"85",84,"Coconut Bread I",3.94,13,65,FALSE,"2-3 pax",FALSE,"deep-fry",1400
"86",85,"Irish Soda Bread I",4.63,262,70,FALSE,">7 pax",FALSE,"grill",600
"87",86,"Ciabatta",4.57,197,40,FALSE,"4-6 pax",FALSE,"deep-fry",1500
"88",87,"Lower Fat Banana Nut Bread",4.13,17,0,TRUE,"2-3 pax",TRUE,"grill",600
"89",88,"Orange Nut Bread",3.73,10,60,TRUE,"4-6 pax",FALSE,"bake",1400
"90",89,"Poppy Seed Bread II",4.67,12,80,FALSE,"2-3 pax",TRUE,"deep-fry",700
"91",90,"Oatmeal Chocolate Chip Muffins",4.19,476,45,FALSE,"4-6 pax",FALSE,"grill",100
"92",91,"Lower Fat Banana Bread I",4.67,377,75,TRUE,">7 pax",TRUE,"grill",1000
"93",92,"Sourdough Bread II",3.57,11,130,TRUE,">7 pax",TRUE,"grill",500
"94",93,"Parmesan Herb Bread",4.6,39,70,TRUE,"2-3 pax",FALSE,"deep-fry",200
"95",94,"Simple Banana Bread",3.95,78,80,FALSE,"2-3 pax",FALSE,"bake",700
"96",95,"Unbelievable Rolls",4.44,657,45,TRUE,"4-6 pax",FALSE,"deep-fry",1300
"97",96,"Pecan Sticky Buns",4.34,29,60,FALSE,">7 pax",TRUE,"deep-fry",800
"98",97,"Challah I",4.61,481,70,FALSE,"2-3 pax",FALSE,"deep-fry",200
"99",98,"Tasty Buns",4.68,410,35,FALSE,"4-6 pax",TRUE,"grill",1500
"100",99,"Breakfast Muffins",4.01,108,40,FALSE,">7 pax",FALSE,"bake",100
