,Recipe,Prep Time,Photo URL,ingredient_0,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,method_0,method_1,method_2,method_3,method_4,method_5,method_6,method_7,method_8
10,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",30,,large artichoke,lemon,tbsp plain flour,tsp olive oil,corn-fed chicken breast,tbsp acacia honey,lemon,beef tomato,âź cucumber,banana shallot,garlic clove,handful fresh chive,sprig fresh chervil,tbsp sherry vinegar,mix,fry,heat,cool,top,skin,boil,slice,cut
11,Ackee and saltfish,30,,tbsp oil,onion,red pepper,green pepper,scotch bonnet chilli,salt cod,ackee,fresh thyme leaf,black pepper,butter,leaf unavailable ),freshly grate nutmeg,ground black pepper,tomato,garnish,melt,drizzle,oil,fry,salt,drain,dry,soak
12,Aged sirloin steak with Thai salad and toasted hazelnuts,40,,age sirloin steak,tbsp olive oil,ground black pepper,¼ red cabbage,small red onion,asian pear,½ coconut,fresh coriander leaf,fresh mint leaf,tbsp sesame seed,lime,garlic clove,finely grate ginger,tbsp sugar,garnish,mix,oil,salt,serve,slice,season,heat,rub
13,Aglio e peperoncino,30,,tbsp olive oil,garlic clove,red chilli,dry linguine,fresh basil leaf,,,,,,,,,,oil,fry,serve,toss,heat,stir,,,
14,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),120,,steak total,chopped fresh rosemary,chopped fresh mint,white wine vinegar,tbsp honey,ground black pepper,italian olive oil,large onion,button mushroom,celery stick,large white potato,dry red wine,glass water,courgette,mix,marinate,juice,warm,oil,fry,salt,serve,season
15,Aïoli,30,,free-range egg yolk,clove garlic,½ lemon,ground black pepper,virgin olive oil,mustard powder,saffron,,,,,,,,blend,oil,raw,serve,slice,pour,,,
16,Adhraki gosht (lamb masala in a tomato and ginger sauce),60,,tsp oil,onion,boneless leg lamb,tbsp ginger paste,tbsp garlic paste,salt taste,white pepper taste,chilli powder,tsp garam masala,lb plum tomato,tsp tomato purăše,yoghurt,ginger cut strip,,dice,garnish,oil,serve,skim,heat,stir,,
17,Ajwain parathas ,30,,wholemeal flour,¼ tsp salt,tsp olive oil,tsp ajwain seed,,,,,,,,,,,fry,heat,top,layer,roll,quarter,turn,dough,dry
18,Albanian baked lamb with rice (Tavë kosi),30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/albanian_baked_lamb_with_92485_16x9.jpg,butter,tbsp olive oil,bone lamb shoulder,garlic clove,tsp dry oregano,long-grain rice,plain flour,oz greek-style yoghurt,free-range egg,freshly grate nutmeg,ground black pepper,,,,melt,mix,oil,simmer,salt,bake,grate,serve,brown
19,Saturday Kitchen Sling ,30,,part gin,sweet red vermouth,part orange liqueur,part campari,pink grapefruit juice,part cloudy lemonade,strawberry,mint sprig,grapefruit,ice,,,,,garnish,mix,juice,quarter,peel,serve,ice,top,pour
20,Aji de gallina,60,,chicken breast,fresh white breadcrumb,whole milk,oil vegetable oil,large onion,clove garlic,mild green chilli,tsp paprika,âź tsp turmeric,ground black pepper,ground walnut,grate parmesan,,,boil,simmer,oil,fry,salt,dry,soak,shred,season
21,Ajitsuke tamago (Japanese pickled eggs),10,,large free-range egg,light soy sauce,oz mirin,oz sake,tbsp caster sugar,,,,,,,,,,boil,marinate,simmer,peel,soak,heat,cool,pour,
22,Albondigas (spicy Mexican meatballs with red rice),60,,onion,pork mince,beef mince,tsp dry oregano,fresh breadcrumb,tsp ground cumin,free-range egg,ground black pepper,tbsp vegetable oil,tbsp olive oil,chopped tomato,medium-hot red chilli,garlic clove,oz beef stock,thicken,mix,blend,fry,heat,cool,skin,roll,simmer
23,All-in-one rib roast with horseradish glaze,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/all-in-one_rib_roast_75464_16x9.jpg,mari piper potato,beef drip,grate fresh horseradish,tbsp black peppercorn,tbsp sea salt,rib beef,large carrot,large parsnip,,,,,,,layer,boil,melt,baste,peel,salt,score,drain,slice
24,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",30,,tbsp olive oil,shallot,anchovy fillet,chopped red chilli,garlic,king prawn,dry white wine,oz fish soup,fresh flatleaf parsley,garlic parsley ),tbsp breadcrumb,garlic clove,tbsp dijon mustard,virgin olive oil,mix,juice,oil,fry,salt,serve,combine,reduce,heat
25,All-day breakfast frittata,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/all-day_breakfast_12416_16x9.jpg,rasher back bacon,spray oil,mushroom,spinach,cut rough chunk,cherry tomato,medium free-range egg,ground black pepper,,,,,,,fry,heat,cool,top,beat,grill,season,turn,cut
26,All-purpose easy butter cake,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/all-purpose_easy_butter_03274_16x9.jpg,unsalted butter,caster brown sugar,oz sunflower oil,arrowroot,tsp vanilla extract,medium free-range egg,oz milk,oz double cream,plain flour,tsp baking powder,,,,,melt,beat,oil,sift,bake,heat,whisk,pour,cream
27,Ale fruit loaf,0,,small currant,raisin,mixed peel,strong bottle beer,dark brown sugar,self-raising flour,wholemeal self-raising flour,tsp mixed spice,free-range egg,,,,,,boil,grease,bake,dry,combine,serve,brown,heat,cool
28,All-in-one white sauce,30,,infuse must cold,plain flour,butter,mill black pepper,,,,,,,,,,,thicken,simmer,turn,heat,season,whisk,stir,,
29,Almond and cauliflower korma curry,30,,tbsp olive oil,½ onion,tsp ground turmeric,tsp ground paprika,tsp cayenne pepper,baby cauliflower,oz double cream,chopped fresh coriander,chopped fresh coriander,toast flake almond,,,,,garnish,oil,fry,quarter,simmer,serve,heat,top,pour
30,"Almond, cranberry and orange biscotti",60,,plain flour,½ tsp salt,tsp baking powder,skin-on almond,dry cranberry,large free-range egg,caster sugar,tsp almond extract,large orange,plain chocolate,white chocolate,toast flake almond,chopped pistachio,( optional ),mix,melt,roll,dip,sift,salt,bake,slice,can
31,Almond-crusted salmon with chilli spinach,30,,tbsp whole almond,handful fresh parsley,breadcrumb,tbsp olive oil,ground black pepper,garlic horseradish mustard,salmon fillet,tbsp olive oil,garlic clove,spinach,chilli flake,ground black pepper,,,roll,oil,fry,serve,combine,toss,cool,season,heat
32,Almond and lemon polenta cake with orange mascarpone,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/almond_and_lemon_polenta_21317_16x9.jpg,unsalted butter,caster sugar,free-range egg,ground almond,instant polenta,gluten-free necessary ),lemon,ice sugar,lemon,tbsp caster sugar,mascarpone,orange,ice sugar,caster sugar,thicken,mix,fry,bake,heat,cool,beat,combine,cut
33,Almond lentil stew,60,,tbsp olive oil,carrot,stalk celery,onion,turnip,garlic clove,baby button mushroom,green lentil,vegetable stock,bay leaf,sprig rosemary,sprig thyme,handful almond,tbsp ground cinnamon,boil,warm,oil,fry,simmer,stew,serve,reduce,heat
34,Almond dipping sauce with pitta bread fingers,30,,tbsp almond butter,â˝ lemon,tbsp vegetable oil,wholemeal pitta bread,,,,,,,,,,,mix,juice,bread,dip,oil,serve,cut,,
35,Almond pancakes with ice cream and toffee sauce,30,,self-raising flour,tbsp caster sugar,free-range egg,milk,flake almond,oil,butter,soft brown sugar,double cream,tsp vanilla extract,plain chocolate,vanilla ice cream,banana,,melt,warm,drizzle,fry,oil,slice,serve,top,ice
36,Almond puddings with Christmas pudding ice cream,150,,christmas pudding,tbsp brandy,marzipan,vanilla ice cream,unsalted butter,caster sugar,tsp almond essence,medium free-range egg,self-raising flour,tbsp full-fat milk,disc marzipan,oz milk,caster sugar,oz brandy,mix,bake,rise,cool,heat,strain,boil,mash,simmer
37,Almond-rolled goats' cheese,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/almondrolledgoatsche_86765_16x9.jpg,fresh beetroot,ground black pepper,oz olive oil,tbsp balsamic vinegar,vegetable oil,goat ' cheese,plain flour,flake almond,fresh basil leaf,smoke almond,garlic clove,parmesan cheese,oz olive oil,small handful watercress,blend,fry,can,heat,top,roll,roast,season,cut
38,Almond rice pudding and cherry compôte,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/almond_rice_pudding_and_42007_16x9.jpg,whole milk,short pudding rice,butter,tbsp caster sugar,vanilla pod,blanch almond,cherry,caster sugar,lemon,tsp arrowroot,kirsch,oz double cream,,,thicken,boil,mix,juice,simmer,whip,serve,turn,heat
39,Almond praline,40,,caster sugar,toast flake almond,squeeze lemon juice,,,,,,,,,,,,melt,juice,fry,serve,turn,cut,cool,wedge,stir
40,Almondy mince pies,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/almondymincepies_14566_16x9.jpg,plain flour,tsp ground cinnamon,chill butter,ground almond,caster sugar,egg,golden marzipan,vegetarian mincemeat,tbsp sherry,caster sugar,cream,,,,dough,chill,roll,grease,bake,serve,cut,knead,top
41,Almond tart,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/almond_tart_40368_16x9.jpg,plain flour,butter,caster sugar,free-range egg yolk,flake almond,butter,caster sugar,tbsp milk,,,,,,,dough,mix,melt,roll,boil,warm,fry,bake,dry
42,Almond semifreddo,0,,blanch almond,granulate sugar,olive oil,double cream,free-range egg,ice sugar,tbsp vodka,( optional ),,,,,,,melt,beat,fry,oil,grind,whip,dry,fold,serve
43,Alpine pizza,40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/alpine_pizza_32132_16x9.jpg,strong plain flour,tsp salt,sachet dry yeast,oz lukewarm water,dry breadcrumb semolina,gruyère cheese,crème fraîche,ground black pepper,large red onion,salami,marjoram leaf,,,,dough,mix,warm,thin,salt,bake,serve,combine,knead
44,Almond soup,30,,butter,clove garlic,vegetable stock,oz double cream,whole almond,tbsp olive oil,slice white bread,ground black pepper,chopped fresh parsley,,,,,,melt,bread,blend,simmer,oil,fry,salt,sprinkle,serve
45,Alternative fish and chips,30,,floury potato,vegetable oil,salt,free-range egg,plain flour,tbsp desiccate coconut,less require ),chopped fresh tarragon,chopped fresh mint,white fillet,ground black pepper,lemon,mayonnaise,tbsp caper,mix,dip,fry,can,heat,beat,slice,combine,cut
46,Aloo panchporan (Stir-fried potatoes tempered with five spices),30,,tbsp vegetable oil,potato,tsp dry turmeric,red chilli powder,salt,tbsp cumin seed,tbsp fennel seed,tbsp fenugreek seed,tbsp nigella seed,black mustard seed,tsp vegetable oil,( panchphoran ),chilli finely chopped,tbsp fresh coriander,mix,stir,oil,fry,salt,pop,serve,smoke,heat
47,Amaretti and berry sundae,40,,frozen berry,tbsp ice sugar,tbsp kirsch liqueur,vanilla ice cream,ready-made amaretti biscuit,( chocolate ),sprig fresh mint,,,,,,,,layer,boil,melt,garnish,warm,fry,serve,ice,heat
48,Amaretti biscuits,150,,free-range egg white,tsp almond essence,ice sugar,salt,ground almond,handful flake almond,,,,,,,,,roll,blend,salt,bake,slice,ice,turn,cut,top
49,"Salt crust chicken with peas, broad beans and mousseron mushrooms",150,,coarse sea salt,tbsp chopped thyme,tbsp chopped rosemary,free-range egg,oz cold water,' flour,free-range chicken,sprig rosemary,sprig thyme,½ lemon,½ head garlic,ground black pepper,butter,butter,dough,mix,roll,warm,sweat,fry,simmer,salt,serve
50,Amaretti tiramisu,40,,strong black coffee,½ brandy miniature,amaretti biscuit,oz double cream,chocolate,tin cherry,tbsp cocoa powder,oz milk,dark chocolate,tbsp ice sugar,½ orange,,,,layer,mix,melt,dip,simmer,whip,grate,serve,slice
51,Amaretti biscuits,30,,free-range egg white,whole almond,tbsp ice sugar,orange,,,,,,,,,,,bake,grate,serve,fold,ice,cool,whisk,sprinkle,zest
52,Amaretti-stuffed pears with red wine and vanilla sauce,30,,pear,crush amaretti biscuit,tbsp white rum,free-range egg yolk,tbsp red wine,red wine,vanilla pod,ice sugar,greek-style yoghurt,,,,,,boil,mix,drizzle,simmer,bake,serve,ice,reduce,heat
53,Amaretti biscuits,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/amarettibistcuits_67183_16x9.jpg,egg,caster sugar,ground almond,oz amaretto liquor,butter,,,,,,,,,,mix,brush,beat,bake,serve,fold,brown,cool,
54,A medley of shellfish with baby vegetables,30,,clam,mussel,oz white wine,unsalted butter,shallot,oz fish stock,oz double cream,cooked lobster,cooked langoustine,tbsp olive oil,scallop,chopped fresh chervil,bunch baby turnip,bunch baby carrot,boil,melt,garnish,warm,fry,oil,salt,blanch,drain
55,Amaretto vanilla custard,40,,oz milk,oz double cream,vanilla pod,egg yolk,caster sugar,tbsp amaretto,,,,,,,,,thicken,mix,warm,blend,serve,heat,whisk,pour,cream
56,Amazing apple tarts,30,,eat apple,½ tsp cinnamon,good mixed spice,packet puff pastry,lemon,egg,tbsp clear honey,melt butter,tbsp caster sugar,,,,,,brush,juice,roll,drizzle,quarter,score,bake,slice,cut
57,American baked cheesecake,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/americanbakedcheesec_8358_16x9.jpg,bought flan ),caster sugar,zest lemon,tbsp cornflour,tbsp sultana,soft cream cheese,medium egg,tsp vanilla essence,vanilla pod,( optional ),double single cream,small banana,butter,tbsp sugar,mix,steam,beat,warm,wedge,drizzle,fry,peel,bake
58,American-style pancakes with bacon and maple syrup,30,,plain flour,tsp baking powder,caster sugar,free-range egg,oz milk,butter,maple-cured back bacon,maple syrup,,,,,,,melt,warm,drizzle,fry,process,drain,dry,combine,fold
59,Gluten-free American buttermilk pancakes,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/americanbuttermilkpa_74762_16x9.jpg,oz buttermilk,egg,butter,tapioca flour,fine cornmeal,good salt,tsp bicarbonate soda,clarify butter,butter,crispy bacon,maple syrup,,,,melt,mix,blend,grease,warm,clarify,sift,salt,serve
60,American pancakes with flambéed cherries and warm chocolate sauce,40,,free-range egg,self-raising flour,tsp baking powder,whole milk,salt,vegetable oil,fresh cherry,orange,tbsp kirsch liqueur,dark chocolate,oz double cream,½ vanilla pod,,,mix,juice,melt,drizzle,oil,fry,salt,serve,top
61,Chocolate ripple cheesecake,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/americanchocolaterip_6334_16x9.jpg,chocolate digestive biscuit,butter,plain chocolate,full-fat soft cheese,caster sugar,tsp vanilla esence,size egg,,,,,,,,mix,melt,beat,grease,stir,chill,bake,measure,serve
62,Breakfast muffins,30,,self-raising flour,tsp baking powder,salt,tsp ground cinnamon,light brown sugar,oz full-fat milk,free-range egg,butter,toast,dry cherry,dry cranberry,crunchy granola,,,melt,mix,stir,warm,sift,salt,sprinkle,bake,dry
63,American fried chicken with spicy chickpeas and honey glazed tomatoes,30,,tsp paprika,oz plain flour,chicken thigh,free-range egg,hot vegetable oil,beef tomato,tbsp honey,tin chickpea,tbsp olive oil,garlic clove,tbsp coriander,,,,mix,blend,dip,oil,fry,drain,slice,serve,can
64,American-style chocolate brownies,30,,dark chocolate,unsalted butter,caster sugar,free-range egg,plain flour,tsp baking powder,bar similar confectionery,oz double cream,tbsp golden syrup,dark chocolate,butter,vanilla ice cream,,,mix,bake,heat,cool,melt,simmer,combine,turn,cut
65,American-style mango pancakes,40,,self-raising flour,tsp baking powder,salt,free-range egg,milk,mango slice,vegetable oil,tbsp butter,honey,,,,,,drizzle,oil,fry,salt,serve,combine,batter,heat,whisk
66,American style pancakes with sausage,30,,sausagemeat,self-raising flour,tsp baking powder,salt,oz buttermilk,large free-range egg,butter,maple syrup,,,,,,,mix,fry,preserve,heat,rise,render,melt,combine,turn
67,American-style pancakes with blueberries,40,,self-raising flour,tsp baking powder,large egg,oz milk,salt,fresh blueberry,vegetable oil,,,,,,,,brush,warm,oil,salt,serve,fold,whisk,batter,heat
68,American-style pancakes with blueberries,30,,self-raising flour,tsp baking powder,( optional ),small salt,butter,oz buttermilk,large free-range egg,tsp vanilla extract,blueberry,butter,ground cinnamon,tbsp maple syrup,,,mix,fry,preserve,heat,rise,melt,whip,turn,fold
69,Anatra con melagrana (duck with pomegranate) and sautéed escarole,30,,skinless duck breast,ground black pepper,plain flour,butter,tbsp olive oil,pomegranate,escarole,tbsp olive oil,garlic clove,,,,,,boil,juice,drizzle,oil,fry,salt,blanch,drain,slice
70,An authentic ragù bolognese,240,,lean mince beef,mince pork,virgin olive oil,tub chicken liver,medium onion,fat garlic clove,pancetta streaky bacon,italian chopped tomato,concentrate tomato purée,oz ),fresh basil,½ whole nutmeg,mill black pepper,,trim,roll,fry,oil,salt,simmer,slice,dry,serve
71,Anchoïade dip,40,,anchovy fillet,clove garlic,shallot,red wine vinegar,handful parsley,virgin olive oil,ground black pepper,,,,,,,,oil,serve,season,heat,pour,,,,
72,Anchoïade with crudites,40,,virgin olive oil,clove garlic,shallot,oz white wine,white anchovy fillet,free-range egg yolk,oz double cream,ground black pepper,vegetable : celery,,,,,,blend,wash,fry,oil,raw,dip,serve,brown,reduce
73,Anchovy and sage crisps,30,,large sage leaf,free-range egg,plain flour,white breadcrumb polenta,anchovy fillet,vegetable oil,,,,,,,,,warm,dip,oil,fry,drain,dry,serve,can,heat
74,Pork chops with celeriac mash and apple and ale gravy,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/amershamporkchopswit_80661_16x9.jpg,large celeriac,butter,ground black pepper,large onion,virgin olive oil,cox 's apple,( similar ),pork chop,tsp vegetable oil,tsp dijon mustard,white wine vinegar,virgin olive oil,rocket leaf,,thicken,fry,score,chunk,heat,skin,boil,bone,mash
75,An extraordinary way with lettuce,40,,large slice butter,bunch spring onion,handful broad bean,baby gem lettuce,vegetable stock,handful fresh pea,fresh mint sprig,,,,,,,,boil,simmer,salt,drain,serve,season,heat,top,skin
76,Andalucian shrimp and spring onion fritters,30,,garlic clove,½ tsp salt,free-range egg yolk,virgin olive oil,plain flour,tsp baking powder,dry white wine,raw prawn,spring onion,fresh flatleaf parsley,olive oil,,,,mix,fry,can,heat,skin,thin,turn,dry,fold
77,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",0,,large pork fillet,prune,soft dry apricot,parsley,tbsp paprika,tsp dry oregano,tsp dry thyme,clove garlic,tbsp coarse salt,tbsp olive oil,ground black pepper,lemon,,,mix,roll,oil,salt,serve,season,cut,fillet,wedge
78,Feijoada ,120,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/andre_and_andersons_49427_16x9.jpg,dry black bean,tbsp olive oil,dry-smoked pork rib,unsmoked pork rib,large onion,head garlic,smoke bacon,pork belly,smoke pork sausage,ground black pepper,( optional ),,,,boil,bone,chill,oil,fry,salt,simmer,dry,soak
79,Angela's slow roasted ginger pork,150,,skin,garlic clove,fresh root ginger,tbsp olive oil,white wine vinegar,,,,,,,,,,mix,process,oil,score,serve,roast,reduce,turn,rub
80,Angel food cake with lemon curd,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/angel_food_cake_with_04002_16x9.jpg,plain flour,caster sugar,free-range egg white,large lemon,tbsp lemon juice,tsp cream tartar,½ tsp salt,free-range egg yolk,caster sugar,large lemon,large lemon,unsalted butter,passion fruit,oz whip cream,mix,heat,cool,top,combine,turn,cut,scoop,juice
81,Chicken in white wine sauce,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/angelaschickeninwhit_85878_16x9.jpg,skinless chicken breast,onion,carrot,stick celery,bay leaf,black peppercorn,butter,flour,white wine,free-range egg yolk,tbsp double cream,ground black pepper,squeeze lemon juice,chopped fresh parsley,boil,melt,juice,garnish,warm,mash,simmer,salt,serve
82,Annika's glögg (Annika’s mulled wine),40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/annikas_glgg_annikas_32356_16x9.jpg,’ matter ),stick cinnamon,dry root ginger,get seville ),green cardamom pod,whole clove,sugar,flake almond,raisin,splash either vodka,,,,,serve,infuse,can,heat,pour,strain,stir,,
83,Anolini in brodo (meat filled pasta in chicken broth),240,,tbsp olive oil,beef sirloin steak,veal rump steak,onion,carrot,celery stick,tbsp tomato purée,bay leaf,oz red wine,oz chicken stock,fresh white breadcrumb,parmesan,whole chicken,beef shin,mix,shred,heat,top,strain,boil,roll,mash,simmer
84,Easy cookies,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/anytimecookies_92185_16x9.jpg,unsalted butter,golden granulate sugar,vanilla extract,free-range egg,plain flour,tsp baking powder,salt,( optional ),nut ( peanut,handful crystallise ginger,,,,,dough,mix,chill,beat,sift,salt,sprinkle,bake,slice
85,Anglesey eggs with bacon chops,30,,free-range egg,potato,knob butter,oz double cream,ground white pepper,leek,unsalted butter,plain flour,milk,tsp mustard powder,ground black pepper,cheddar cheese,caerphilly cheese,white breadcrumb,mix,fry,bake,heat,cool,top,layer,boil,melt
86,Antony's 'mainstay' mince,150,,streaky bacon,good olive oil,onion,stick celery,carrot,clove garlic,soft thyme leaf,bay leaf,tsp dry oregano,chopped tomato,tbsp tomato purăše,tbsp anchovy essence,tbsp worcestershire sauce,mince beef,boil,mix,fry,oil,simmer,combine,brown,deglaze,cool
87,Aperitivo di passata,40,,oz passata sauce,lime,¼ nutmeg,sugar,salt,chilli powder,,,,,,,,,chill,juice,dip,salt,slice,serve,decorate,pour,stir
88,Apple and blueberry cobbler,60,,bramley apple,blueberry,unsalted butter,caster sugar,ground almond,egg,almond,,,,,,,,core,peel,bake,slice,serve,ice,chunk,cut,heat
89,Delia's any kind of cheese sauce,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/anykindofcheesesauce_70007_16x9.jpg,mature cheddar,parmigiano reggiano ),milk,plain flour,butter,cayenne pepper,freshly grate nutmeg,mill black pepper,,,,,,,melt,simmer,salt,grate,season,heat,whisk,,
90,Apple and blackberry crumble,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_and_blackberry_33697_16x9.jpg,cooking apple,butter,caster sugar,blackberry,plain wholemeal flour,porridge oat,powder seaweed ),dark brown sugar,unsalted butter,sunflower seed,pumpkin seed,,,,mix,bake,serve,combine,reduce,heat,rub,top,stir
91,Apple and blueberry pie,30,,ready-made shortcrust pastry,caster sugar,½ lemon,bramley apple,butter,( optional ),blueberry,medium free-range egg,clot cream,,,,,,mix,bake,heat,cool,top,roll,quarter,stew,slice
92,Apple and carrot sesame crumble,30,,unsalted butter,apple,carrot,brown sugar,oz white wine,plain flour,unsalted butter,brown sugar,tsp ground cinnamon,tbsp sesame seed,greek yoghurt,mint sprig,,,thicken,garnish,melt,mix,grease,fry,simmer,sprinkle,bake
93,Apple and Cheshire cheese bake,30,,apple,butter,tbsp brown sugar,free-range egg white,cheshire cheese,,,,,,,,,,melt,shell,core,fry,bake,slice,fold,whisk,brown
94,Apple and bacon chutney,30,,â˝ apple,plum,tbsp balsamic vinegar,white wine vinegar,tsp mixed spice,bay leaf,bacon rasher,,,,,,,,thicken,serve,cut,heat,stir,,,,
95,Apple and cinnamon kugelhopf with honeyed apples,150,,unsalted butter,ground almond,oz full-fat milk,caster sugar,unsalted butter,plain flour,tsp ground cinnamon,fine sea salt,lemon,fast-action yeast,large free-range egg,golden delicious apple,sultana soak calvados,unsalted butter,thicken,mix,fry,bake,blanch,can,heat,cool,top
96,Loaf cake with apple and cinnamon,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_and_cinnamon_loaf_75570_16x9.jpg,butter,self-raising flour,light muscovado sugar,tsp ground cinnamon,dessert apple,free-range egg,tbsp demerara sugar,tbsp warm,,,,,,,dice,brush,beat,core,peel,bake,slice,combine,can
97,Apple and filo tart with scallops and bacon salad,60,,bramley apple,tsp water,fresh thyme leaf,butter,ground black pepper,sheet filo pastry,butter,large hand-dived scallop,tsp olive oil,smoke streaky bacon,tsp dijon mustard,white wine vinegar,virgin olive oil,ground black pepper,brush,melt,mix,drizzle,oil,fry,salt,serve,combine
98,Apple and lemon kites ,130,,unsalted butter,strong white flour,powder milk,caster sugar,salt,fast-action dry yeast,caster sugar,ice sugar,ground almond,½ unwaxed lemon,lemon extract,free-range egg yolk,lady braeburn ),tbsp lemon juice,mix,process,bake,heat,cool,top,skin,freeze,boil
99,Apple and passion fruit tartlets,120,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/appleandpassionfruit_89981_16x9.jpg,plain flour,cold butter,½ tsp salt,ice cold water,free-range egg yolk,caster sugar,plain flour,oz milk,½ vanilla pod,tbsp ice sugar,medium cox apple,passion fruit,,,mix,process,bake,can,refrigerate,heat,cool,top,skin
